names,chiemos,engemos,chisubs,engsubs
sample_00006957,生气,angry,我得批评你啊。不管怎么说，王老师是你老师，你怎么和王老师说话呢？,"I have to criticize you. Anyway, Mr. Wang is your teacher. How can you talk to Mr. Wang like that?"
sample_00005637,担忧,worried,那个，大夫，这个我妈身体也不好，她也照顾不了我爸。我这两天实在是太忙了，我们有一个国际招标。,"Um, doctor, my mom is not in good health either, and she can't take care of my dad. I've been really busy these past two days, we have an international bidding."
sample_00004256,高兴,happy,没事没事，健康着呢。,"It's okay, I'm healthy."
sample_00004297,高兴,happy,太夸张啦！看来呢，我得在暑假之前，赶紧把剧本改完，好好地给你补补课。,"Too exaggerated! It seems that I have to hurry up and finish revising the script before summer vacation, and give you extra lessons."
sample_00001421,生气,angry,不要跟我扯上关系，我没有外公，也不需要他的礼物。,"Don't involve me, I don't have a grandfather, and I don't need his gift."
sample_00003605,生气,angry,别问为什么，想不想吃板鸭？,"Don't ask why, do you want to eat Peking duck?"
sample_00006198,生气,angry,你真傻假傻呀，我在乎花这个钱吗？我那也就是气话。,"You are really silly, do I care about spending this money? It's just a joke."
sample_00001468,生气,angry,你知道你就不会跟他走，是我昨天问你的，你觉得九天他怎么样？是你跟我说，你觉得他有神经病。,"You know you won't go with him, I asked you yesterday, what do you think of Jiutian? It was you who told me that you thought he was crazy."
sample_00002991,悲伤,sad,我不想见他。,I don't want to see him.
sample_00000393,生气,angry,是不是蔡微澜的电话？三更半夜去找他干什么？,Is this Cai Weilan's phone? What are you doing going to find him in the middle of the night?
sample_00001152,高兴,happy,啊，那没事买个房，没事再买个车，最后绕地球绕一圈，最后就上月球了。,"Ah, then buy a house, then buy a car, finally go around the earth, and finally go to the moon."
sample_00003367,生气,angry,我就胡闹了，你不是老说我胆小怕犯错误吗？我就犯一次错误。,I'm just fooling around. Haven't you always said that I'm timid and afraid of making mistakes? I'll just make one mistake.
sample_00004810,担忧,worried,行了，你别渗着了，赶紧回去歇着吧。,"Alright, stop lingering around and quickly go back to rest."
sample_00000070,悲伤,sad,难道你没有结过婚？,Have you never been married?
sample_00001755,生气,angry,我们说王建国，你什么都没带，傻了吧？没地方坐了吧。,"We said Wang Jianguo, you didn't bring anything, are you stupid? There's nowhere to sit now, right?"
sample_00002504,高兴,happy,找不到了吧。,"Can't find it, right?"
sample_00005769,担忧,worried,姐，你千万别这么说，你既善良又明事理。,"Sister, please don't say that. You are both kind and sensible."
sample_00006042,高兴,happy,好好好去玩，我早就跟你说过吧。,"Go and have fun, I told you a long time ago."
sample_00006009,高兴,happy,老公，把我今天晚上订的新款内衣带回来了没有？我就要！我就是要让你那女秘书看，你每周都送我好看的内衣！气死她！那我以后也不再去打网球了。,"Husband, did you bring back the new underwear I ordered tonight? I want it! I just want to let your female secretary see that you send me beautiful underwear every week! It makes her angry! Then I won't go play tennis anymore."
sample_00002676,高兴,happy,向往天上人间，所谓的生活,"Longing for heaven on earth, the so-called life."
sample_00002021,高兴,happy,nan,nan
sample_00004242,高兴,happy,你找我。,You are looking for me.
sample_00004025,生气,angry,我告诉你，这个婚，我绝对不会离，我死了也不会离。,"I tell you, I will never leave this marriage, even if I die."
sample_00001455,高兴,happy,温柔点，我开免提啊。,"Be gentle, I'm using speakerphone."
sample_00002212,悲伤,sad,这样你能好过点，是吗？,"Can you feel better this way, right?"
sample_00001097,惊讶,surprise,您这，摸什么呢？,What are you touching?
sample_00006591,生气,angry,nan,nan
sample_00006481,高兴,happy,我应该叫你的艺名。,I should call you by your stage name.
sample_00004262,担忧,worried,你，你没有受伤吧。,Are you okay?
sample_00004264,高兴,happy,nan,nan
sample_00005168,悲伤,sad,有一天，我实在受不了了。,"One day, I couldn't stand it anymore."
sample_00001189,惊讶,surprise,就之前那些事情呀，你就专门为这些事情，来跟我道歉呀。,"Just those things before, you specifically apologize to me for these things."
sample_00001697,生气,angry,啊。,Ah.
sample_00000907,悲伤,sad,装三好女婿，从来都是媳妇骂我妈，我不敢骂她妈。买盆酱油，还怀疑你吃回扣。,"Being a good son-in-law, I always get scolded by my wife for my mother, but I dare not scold her mother. When buying a bottle of soy sauce, I even suspect that you are taking a kickback."
sample_00003239,担忧,worried,nan,nan
sample_00001411,生气,angry,我跟你说了别再给我打电话，咱俩已经分手了，你别死皮赖脸老缠着我行不行？,I told you not to call me anymore. We have already broken up. Can you stop bothering me?
sample_00003774,高兴,happy,来，你说巧不巧，就那一次，我就怀上了。,"Well, believe it or not, it happened just that one time, and I got pregnant."
sample_00000370,高兴,happy,算了吧，在这些人眼里，我只是他们的赚钱机器。,"Forget it, in their eyes, I'm just their money-making machine."
sample_00007011,生气,angry,我现在要回家，我可以走了吗？,"I'm going home now, can I leave?"
sample_00006709,生气,angry,可是你懂不懂自己为什么活着？你每次笑是为了什么？,But do you know why you are alive? What are you laughing for every time?
sample_00001453,高兴,happy,看看，真是母女连心，什么事都想着干妈。,"Look, they are really close like mother and daughter, always thinking about their godmother."
sample_00004446,生气,angry,有钱怎么了？你们有钱，你们有钱就可以侮辱人哪。,"What's wrong with having money? If you have money, you can insult people."
sample_00004307,悲伤,sad,我都不知道怎么跟你解释？这大概就是一个意外吧。,I don't know how to explain it to you. This is probably an accident.
sample_00006941,悲伤,sad,你在哪儿我还能不知道？我是来向你道歉的。昨天晚上我真的失态了。对不起，好吗？,"Where are you? How could I not know? I came to apologize to you. I really lost control last night. I'm sorry, okay?"
sample_00002183,高兴,happy,嘿，火候刚刚好啊。,"Hey, the timing is just right."
sample_00003051,生气,angry,再去看。,Go and see again.
sample_00005219,担忧,worried,你现在过去，只会让家属的情绪更加失控，甚至全部迁怒于你。,"You going back now will only make the emotions of your family more out of control, and even transfer all the anger to you."
sample_00006275,生气,angry,这辈子我最爱的就是这个女人，我的理想就是娶她为妻，你能不能够饶了我？,The woman I love the most in my life is this one. My ideal is to marry her as my wife. Can you please forgive me?
sample_00002684,高兴,happy,都用奇怪的眼光看着我，以为我们两个人之间有什么关系。那天我不停地给你递纸巾，你对我说谢谢，好记得吗？,"Everyone looked at me with strange eyes, thinking that there was some kind of relationship between us. That day, I kept handing you tissues, and you said thank you to me. Do you remember?"
sample_00004053,高兴,happy,原来这两个人是郎情妾意呀。,It turns out that these two people are deeply in love.
sample_00001039,生气,angry,那你也等会儿吧，没工夫给你挪车，我这儿忙着呢我。,"Then you wait for a while too, I don't have time to move your car, I'm busy here."
sample_00000361,担忧,worried,男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。,"I understand the mentality of men, it is not easy to cherish what is easily obtained. Don't look back one day, wave goodbye, and not take away a single cloud."
sample_00005079,高兴,happy,nan,nan
sample_00002298,生气,angry,那是我一分钱一分钱修车攒出来的。我问你，我让你少吃过一顿肉吗？,"That's the money I saved up bit by bit to fix the car. I ask you, have I ever asked you to eat less meat?"
sample_00004485,生气,angry,你让我把王博推给家属去道歉，这歉怎么道？,"You asked me to push Wang Bo to his family to apologize, how to apologize?"
sample_00002253,生气,angry,再说了，我手里没点现钱，我怎么去他们家？,"Besides, I don't have any cash on hand. How can I go to their house?"
sample_00002449,高兴,happy,nan,nan
sample_00006742,生气,angry,你说，你为什么推我？,"You said, why did you push me?"
sample_00003575,生气,angry,算了，反正你也完成任务了，走吧你，再见。,"Forget it, anyway you have completed the task, go ahead, goodbye."
sample_00005749,担忧,worried,但是我在香港没有亲戚朋友。,But I don't have any relatives or friends in Hong Kong.
sample_00000877,担忧,worried,手术顺利吗？,Is the surgery successful?
sample_00005942,高兴,happy,成，那我一会儿看见他啊，我就告诉他。要不，您别在这儿等了，我们这儿啊，挺乱的，您先去，也别让叔叔呢等时间太长喽。,"Okay, then I will tell him when I see him later. How about you don't wait here, it's quite messy here. You go first, and don't let Uncle wait for too long."
sample_00002244,生气,angry,如果没有一种信念，我怎么能熬的过来？,"If there is no belief, how can I survive?"
sample_00006914,生气,angry,哎，我这是在家啊。我还穿什么周武郑王的，我连孩子的房间都不能进么？,"Oh, I am at home. What should I wear? Can't I even enter my child's room?"
sample_00006884,生气,angry,不管我走到哪儿，看到的都是笑脸，听到的都是好话，就这么一夜之间，所有人见了我都怪模怪样的。我这心里能好受吗？,"No matter where I go, all I see are smiling faces and hear kind words. But overnight, everyone I meet looks at me strangely. Can I feel good in my heart?"
sample_00006689,生气,angry,我不管你是谁，你只要敢欺负我弟弟我就剁了你。,"I don't care who you are, as long as you dare to bully my younger brother, I will chop you up."
sample_00000153,高兴,happy,白总监，你也关注这件事啊！,"Director Bai, you are also paying attention to this matter!"
